ZTS
ZION
ZBH
YUM
XYL
XLNX
XRX
XEL
WYNN
WLTW
WMB
WHR
WY
WRK
WU
WDC
WELL
WFC
WCG
WEC
WAT
WM
WMT
WBA
WAB
VMC
VNO
V
VIAB
VRTX
VZ
VRSK
VRSN
VTR
VAR
VLO
VFC
UNM
UHS
UTX
URI
UPS
UNH
UAL
UNP
UA
UAA
ULTA
UDR
USB
TSN
TWTR
FOX
FOXA
TRIP
TDG
TSCO
TSS
TMK
TJX
TIF
TMO
DIS
TRV
MOS
HSY
COO
CLX
BK
TXT
TXN
TFX
FTI
TEL
TGT
TPR
TTWO
TROW
SYY
SNPS
SYF
SYMC
SIVB
STI
SYK
STT
SBUX
SWK
LUV
SO
SNA
SLG
SWKS
SPG
SHW
SRE
SEE
STX
SLB
SBAC
CRM
SPGI
RCL
ROST
ROP
ROL
ROK
RHI
RMD
RSG
RF
REGN
REG
RHT
O
RTN
RJF
DGX
PWR
QCOM
QRVO
PVH
PHM
PSA
PEG
PRU
PLD
PGR
PG
PFG
PPL
PPG
RL
PNC
PXD
PNW
PSX
PM
PFE
PRGO
PKI
PEP
PBCT
PNR
PYPL
PAYX
PH
PKG
PCAR
ORCL
OKE
OMC
OXY
ORLY
NVDA
NUE
NRG
NCLH
NOC
NTRS
NSC
JWN
NBL
NI
NKE
NLSN
NEE
NWS
NWSA
NEM
NWL
NFLX
NTAP
NKTR
NOV
NDAQ
MYL
MSCI
MSI
MS
MCO
MNST
MDLZ
TAP
MHK
MAA
MSFT
MU
MCHP
MGM
MTD
MET
MRK
MDT
MCK
MCD
MKC
MXIM
MAT
MA
MAS
MLM
MMC
MAR
MPC
MRO
M
MAC
MTB
LYB
LOW
L
LMT
LKQ
LIN
LNC
LLY
LEN
LEG
LW
LRCX
LH
LLL
LB
KR
KHC
KSS
KLAC
KMI
KIM
KMB
KEYS
KEY
K
KSU
JNPR
JPM
JCI
JNJ
SJM
JEF
JEC
JKHY
JBHT
IRM
IQV
IPGP
IVZ
ISRG
INTU
IFF
IPG
IP
IBM
ICE
INTC
IR
INCY
ILMN
ITW
INFO
IDXX
HII
HBAN
HUM
HPQ
HST
HRL
HON
HD
HOLX
HFC
HLT
HPE
HES
HSIC
HP
HCP
HCA
HAS
HIG
HRS
HOG
HBI
HAL
GWW
GS
GPN
GILD
GPC
GM
GIS
GE
GD
IT
GRMN
GPS
FCX
BEN
FBHS
FTV
FTNT
F
FL
FMC
FLR
FLS
FLIR
FLT
FISV
FE
FRC
FITB
FIS
FDX
FRT
FAST
FB
FFIV
XOM
EXR
EXPD
EXPE
EXC
ES
EVRG
RE
EL
ESS
EQR
EQIX
EFX
EOG
ETR
EMR
EA
EW
EIX
ECL
EBAY
ETN
EMN
ETFC
DXC
DRE
DUK
DTE
DWDP
DOW
DOV
D
DLTR
DG
DISH
DISCK
DISCA
DFS
DLR
FANG
DVN
XRAY
DAL
DE
DVA
DRI
DHR
DHI
CVS
CMI
CSX
CCI
COTY
COST
GLW
CPRT
STZ
ED
COP
CXO
CAG
CMA
CMCSA
CL
CTSH
KO
CMS
CME
CTXS
CFG
C
CSCO
CTAS
CINF
XEC
CI
CHD
CB
CMG
CVX
CHTR
SCHW
CF
CERN
CTL
CNP
CNC
CELG
CE
CBS
CBRE
CBOE
CAT
CCL
KMX
CAH
CPRI
COF
CPB
CDNS
COG
CHRW
BFB
BR
AVGO
BMY
BSX
BXP
BWA
BKNG
BA
HRB
BLK
BIIB
BBY
BRKB
BDX
BBT
BAX
BAC
BLL
BHGE
AVY
AVB
AZO
ADP
ADSK
ATO
T
AIZ
AJG
ANET
ARNC
ADM
APTV
AMAT
AAPL
AIV
APA
AON
ANTM
ANSS
ADI
APC
APH
AMGN
AME
ABC
AMP
AWK
AMT
AIG
AXP
AEP
AAL
AEE
AMZN
MO
GOOG
GOOGL
ALL
LNT
ADS
AGN
ALLE
ALGN
ALXN
ARE
ALB
ALK
AKAM
APD
A
AFL
AMG
AES
AMD
AAP
ADBE
ATVI
ACN
ABMD
ABBV
ABT
AOS
MMM
